GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,39.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),1.89999997615814
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Primary,40.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,2.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,35.2000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,Total,1.60000002384186
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),12.6000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,31.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Total,2.09999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Total,48.7000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,31.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Total,1.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,28.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),15.8000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Primary,47.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,54.5999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q3,37.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,3
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary or higher,1.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,8.30000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q1 (Poorest),47.9000015258789
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),1.39999997615814
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,Total,19.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,EDUCATIONLEVEL,Total,7.90000009536743
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,6.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,11
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,33
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Rural,2.09999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None and primary education,49.9000015258789
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,23
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,12.1000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Primary,1.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,6.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q5 (Richest),16.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,22.3999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None,36.2000007629395
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,34.9000015258789
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q1 (Poorest),10.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,10.8000001907349
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Higher education,1.89999997615814
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,3
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,43.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,43.5999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,24.3999996185303
